year,institute_type,pool,opening_rank,closing_rank,institute_short,program_name,program_duration,degree_short,category
2018,IIT,Male,118,240,IIT-Kharagpur,Civil Engineering,4,B.Tech,ST
2018,IIT,Male,123,123,IIT-Kharagpur,Civil Engineering,4,B.Tech,GEN
2018,IIT,Male,3559,4158,IIT-Kharagpur,Civil Engineering,4,B.Tech,GEN
2018,IIT,Male,1432,1601,IIT-Kharagpur,Civil Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,679,901,IIT-Kharagpur,Civil Engineering,4,B.Tech,SC
2018,IIT,Male,258,355,IIT-Kharagpur,Civil Engineering,4,B.Tech,ST
2018,IIT,Male,35,35,IIT-Kharagpur,Civil Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,181,286,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,284,389,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,48,149,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,151,196,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,30,86,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,94,125,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,24,30,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,104,137,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,10,10,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,12,12,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,2,2,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,2779,4128,IIT-Kharagpur,Information Technology,4,B.Tech,GEN
2018,IIT,Male,1867,2355,IIT-Kharagpur,Information Technology,4,B.Tech,OBC-NCL
2018,IIT,Male,1045,1787,IIT-Kharagpur,Information Technology,4,B.Tech,SC
2018,IIT,Male,658,1013,IIT-Kharagpur,Information Technology,4,B.Tech,ST
2018,IIT,Male,29,29,IIT-Kharagpur,Information Technology,4,B.Tech,GEN
2018,IIT,Male,138,1190,IIT-Kharagpur,Electrical Engineering,4,B.Tech,GEN
2018,IIT,Male,440,516,IIT-Kharagpur,Electrical Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,161,273,IIT-Kharagpur,Electrical Engineering,4,B.Tech,SC
2018,IIT,Male,61,170,IIT-Kharagpur,Electrical Engineering,4,B.Tech,ST
2018,IIT,Male,32,32,IIT-Kharagpur,Electrical Engineering,4,B.Tech,GEN
2018,IIT,Male,1288,1556,IIT-Kharagpur,Electrical Engineering,4,B.Tech,GEN
2018,IIT,Male,581,745,IIT-Kharagpur,Electrical Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,339,418,IIT-Kharagpur,Electrical Engineering,4,B.Tech,SC
2018,IIT,Male,232,351,IIT-Kharagpur,Electrical Engineering,4,B.Tech,ST
2018,IIT,Male,42,42,IIT-Kharagpur,Electrical Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,329,890,IIT-Kharagpur,Civil Engineering,4,B.Tech,GEN
2018,IIT,Male,172,417,IIT-Kharagpur,Civil Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,65,243,IIT-Kharagpur,Civil Engineering,4,B.Tech,SC
2018,IIT,Male,39,173,IIT-Kharagpur,Civil Engineering,4,B.Tech,ST
2018,IIT,Male,21,21,IIT-Kharagpur,Civil Engineering,4,B.Tech,GEN
2018,IIT,Male,19,19,IIT-Kharagpur,Civil Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,915,1320,IIT-Kharagpur,Artificial Intelligence and Data Science,4,B.Tech,GEN
2018,IIT,Male,450,764,IIT-Kharagpur,Artificial Intelligence and Data Science,4,B.Tech,OBC-NCL
2018,IIT,Male,230,389,IIT-Kharagpur,Artificial Intelligence and Data Science,4,B.Tech,SC
2018,IIT,Male,144,304,IIT-Kharagpur,Artificial Intelligence and Data Science,4,B.Tech,ST
2018,IIT,Male,55,55,IIT-Kharagpur,Artificial Intelligence and Data Science,4,B.Tech,GEN
2018,IIT,Male,5566,7242,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,GEN
2018,IIT,Male,2605,3456,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,1759,2132,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,SC
2018,IIT,Male,282,1023,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,ST
2018,IIT,Male,2819,3442,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,GEN
2018,IIT,Male,1406,1817,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,775,1171,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,SC
2018,IIT,Male,675,879,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,ST
2018,IIT,Male,3492,4563,IIT-Kharagpur,Artificial Intelligence and Data Science,4,B.Tech,GEN
2018,IIT,Male,1923,2144,IIT-Kharagpur,Artificial Intelligence and Data Science,4,B.Tech,OBC-NCL
2018,IIT,Male,1224,1365,IIT-Kharagpur,Artificial Intelligence and Data Science,4,B.Tech,SC
2018,IIT,Male,62,138,IIT-Kharagpur,Artificial Intelligence and Data Science,4,B.Tech,ST
2018,IIT,Male,161,161,IIT-Kharagpur,Artificial Intelligence and Data Science,4,B.Tech,GEN
2018,IIT,Male,1663,2623,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,GEN
